avg_timbre1,0.27584241943245624
var_timbre10,0.27478913653429143
var_timbre8,0.27059191821203576
loudness,0.26372988926202
var_timbre11,0.25339571096498564
avg_timbre6,0.24909019378837965
var_timbre7,0.23711942466753955
var_timbre4,0.23542110685613377
var_timbre6,0.21758458432052474
var_timbre12,0.20246579756910033
var_timbre9,0.19762708527714215
hotttnesss,0.19410484182099347
var_timbre3,0.19399698428028916
avg_timbre2,0.1939365285653377
avg_timbre5,0.1922716901511416
max_segment_timbre1,0.16019096742992028
var_timbre2,0.15066041583809056
var_timbre5,0.1422777991184766
avg_timbre10,0.1377754905577679
avg_timbre11,0.1194592643776918
max_segment_timbre6,0.11581427295141652
avg_timbre3,0.11412752165003631
max_segment_timbre2,0.11147740800328944
avg_timbre4,0.11050581243814162
duration,0.10814739051484977
start_of_fade_out,0.10810895548649094
max_segment_timbre3,0.0887425057478216
avg_timbre8,0.08548928455051737
max_segment_timbre5,0.08455254959786722
max_segment_time,0.07772144598487121
avg_timbre7,0.07510582034104636
tempo,0.07479647963120614
avg_timbre9,0.07449386818236808
time_signature,0.06751188341871814
var_timbre1,0.06681645947314997
max_segment_timbre4,0.06340567185713476
avg_timbre12,0.05939826006796245
end_of_fade_in,0.05155262951334052
max_segment_timbre10,0.049179573242941255
max_segment_timbre11,0.03925496695740677
key,0.03885325393682785
mode,0.0386865843981008
max_segment_timbre8,0.03748202404472757
max_segment_timbre7,0.033269879697713486
max_segment_timbre12,0.03261158900163451
max_segment_timbre9,0.03056266028610125
